Experiment Name,Recording Name,Condition Number,Replicate Number,Probe Name,Probe Type,Cell Type,Adjuvant,Concentration,Process Flag,Threshold,Number of Spots,Number of Tracks,Number of Tracks in Background,Number of Squares in Background,Average Tracks in Background,Number of Spots in All Tracks,Number of Frames,Run Time,Time Stamp,Exclude,Tau,R Squared,Density,Min Required Density Ratio,Min Required R Squared,Max Allowable Variability,Neighbour Mode
221012,221012-Exp-1-A1-1,1,1,6 Tri,Simple,CHO-MR,No,1.000,true,5.000,406703,14852,41,199,0.206,345102,2000,17.000,2026-01-01T12:58:08.593,false,220.000,0.952,0.057,2.000,0.100,10.000,Free
221012,221012-Exp-1-A1-2,1,2,6 Tri,Simple,CHO-MR,No,1.000,true,5.000,561725,13877,28,183,0.153,506604,2000,17.000,2026-01-01T12:58:26.069,false,244.000,0.955,0.053,2.000,0.100,10.000,Free
221012,221012-Exp-1-A1-3,1,3,6 Tri,Simple,CHO-MR,No,1.000,true,5.000,620659,15462,11,189,0.058,557620,2000,18.000,2026-01-01T12:58:44.826,false,234.000,0.947,0.055,2.000,0.100,10.000,Free
